"supervision_total","blackcard_total","ecommerce_total","order_count","total_price","city_id","gender","refund_fee","last_buytime","churn"
"0","0","3599","1","3599","0101",,"0","1622509894","0"
"0","0","2399","1","2399","3201",,"0","1602734411","0"
"0","0","1116","1","1116","0201",,"0","1622398317","0"
"0","0","499","1","499","3416",,"0","1600632002","0"
"0","0","4297","2","4297","3703",,"0","1623028263","0"
"0","0","548","1","548","0101",,"0","1623705093","0"
"0","0","2969","1","2969","1310",,"0","1622772683","0"
"0","0","2199","1","2199","5001",,"0","1618182661","0"
"0","0","1000","1","1000","0101",,"0","1620436280","0"
"0","0","11658","7","11658","0201",,"0","1623370307","0"
"0","0","3689","1","3689","4108",,"0","1622427067","0"
"0","0","1000","1","1000","4101",,"0","1620357074","0"
"0","0","10599","1","10599","4403",,"0","1621566701","0"
"0","0","14252","7","14252","4304",,"0","1622765511","0"
"0","0","1076","1","1076","4413",,"0","1620436292","0"
"0","0","6000","2","6000","5101",,"0","1620421898","0"
"0","0","8873","6","8873","3207",,"0","1622509919","0"
"0","0","28597","8","28597","2303",,"0","1623381104","0"
"0","0","1000","1","1000","3401",,"0","1616980276","0"
"0","0","428","1","428","0201",,"0","1619136661","0"
"0","0","1682","1","1682","3301",,"0","1620436265","0"
"0","0","1799","1","1799","0201",,"0","1614831070","0"
"0","0","7747","2","7747","2102",,"0","1617934297","0"
"0","0","2427","3","2427","4401","2","0","1623787887","0"
"0","0","749","1","749","0101","2","0","1620666677","0"
"0","0","5254","3","5254","1201","2","0","1617837117","0"
"0","0","10500","1","10500","5101","2","0","1607212813","0"
"0","0","3519","1","3519","4406","2","0","1620609076","0"
"0","0","1000","1","1000","4403","2","0","1620601897","0"
"0","0","649","1","649","4301","2","0","1608433258","0"
"0","0","17598","2","17598","3702","2","0","1621217474","0"
"0","0","7398","3","7398","3502","2","0","1621563094","0"
"0","0","1000","1","1000","4301","2","0","1620245495","0"
"0","0","1999","1","1999","4101","2","0","1619064668","0"
"0","0","299","1","299","4503","2","0","1608091251","0"
"0","0","7351","4","7351","0201","1","0","1608764400","0"
"0","0","5406","2","5406","4301","1","0","1622769079","0"
"0","0","10599","1","10599","0201","1","0","1621213887","0"
"0","0","779","1","779","1504","1","0","1606788035","0"
"0","0","420","2","420","5101","1","0","1602543617","0"
"0","0","2979","2","2979","0201","1","0","1611079880","0"
"0","0","569","3","569","4416","1","0","1610417467","0"
"0","0","99","1","99","5101","2","0","1603735204","0"
"0","0","991","3","991","3302","2","0","1608951630","0"
"0","0","598","2","598","4209","2","0","1601254857","0"
"0","0","4000","1","4000","3201","2","0","1617941469","0"
"0","0","1388","1","1388","3401","2","0","1623377500","0"
